일자	키워드
20180406	"중국발,황사,미세먼지,한식,종일,조상들,무덤,음식,한식,4월,금요일,출근길,금요일,우산,덕분,기온,종일,중국,발원,황사,유입,미세먼지,농도,기상청,4시,기상정보,기압골,영향,중국,북부,지방,남하,고기압,가장자리,전국,서울,경기도,시작,예상,강수량,5~10,북서쪽,공기,기온,평년,기온,바람,체감온도,4시,기온,서울,6.8도,강원도,춘천,5.6도,인천,5.5도,수원,7.5도,청주,대구,부산,창원,제주,기온,서울,11도,춘천,13도,인천,8도,대구,부산,제주,기록,전망,중국발,황사,미세먼지,농도,그제,4일,5일,고비사막,내몽골,부근,발원,화사,서쪽지방,중심,덕분,권역,미세먼지,농도,예상,일시적,수준,농도,미세먼지,안개,가시거리,해안,제주도,중심,바람,주말,경기동부,강원영서,충북북부,전북동부,경북북부내륙,지역,빗방울,일요일,전국,구름,주의사항,출근길,우산,마스크,등굣길,우산,마스크,산책길,모바일,전용,날씨,정보,콘텐츠,친절,쿡캐스터,독자,국민일보,커밍"
20180406	"4월,가능,경향신문,특종,기획,해설,독자적,시각,경향,京鄕,각지,소식,정보,시대,경향,傾向,브리핑,경향,4월,국정농단,사태,정점,박근혜,대통령,재판,1년,선고,6일,1심,궐석재판,일관,대통령,선고공판,출석,재판,2시,TV,생중계,재판,2시간,진행,4시,재판장,대통령,형량,선고,모습,전망,선고,박근혜,형량,4시,정부,청년일자리,해소,구조조정,고용위기,지역,지원,3조,규모,추가경정,추경,예산안,편성,자동차,조선업,위기,고용위축,군산,거제,6개,지역,고용위기지역,지정,청년일자리,위기지역,3조,2018추경,청년일자리,추경,재직자,역차별,보완,이공계,취업지원,의결,정부,추경안,민주당,추경,한국당,선거,현금,살포,의결,정부,추경안,고용위기지역,숙련,노동자,지원,초점,의결,정부,추경안,중기,보완,재직자,역차별,공제,확대,가입,대상,천식,아토피,미세먼지,취약,학생,미세먼지,결석,허용,미세먼지,농도,이상일,천식,이상일,아토피,알레르기,호흡기,질환,심혈관,질환,학생들,질병,결석,학년,학교,진단서,미세먼지,농도,학부모,전화,결석,유치원생,미세먼지,농도,진단서,질병결석,인정,호흡기,질환,아토피,결석,학생,미세,먼지,허용,스웨덴,자녀,출산,입양,부모,480일,16개월,육아휴직,90일,부모,강제,할당,사용,배우자,양도,사실상,아버지,육아참여,강제,자녀,8세,미만,부모,육아휴직법,무급,25%,저출산,해법,환경,스웨덴,송현숙,번째,라테파파,나라,편지,8세,미만,자녀,부모권,25%,부모,노동권,보장,라테파파,나라,편지,정부,예산,남성,여성,영향,검토,남북,5일,판문점,경호,남북정상회담,의전,보도,분야,실무회담,회담,여부,텔레비전,생중계,논의,양측,논의,경호상,감안,이날,회담,공개,메신저,남북,정상,실무회담,김정은,공식,직함,국무,위원장,약속,북한,연합군사훈련,침묵,중단,폐플라스틱,수거,수거업체,아파트,관리사무소,갈등,격화,환경부,대책,재활용,쓰레기,혼란,예정,브리핑,취소,현장,수습,당장,중요,결국,생산자,책임,강화,일회용품,규제,근본,해법,지적,대책,보고,환경부,현장,수습,총리,혼쭐,금융권,여성,지원자,커트라인,성차별,채용비리,장관,김영주,고용노동부,성차별,채용비리,여성,뿌리,폭력,불평등,민낯,21세기,전환고시,비판,구혜영,政치,情치,금융계,성차별,채용,발목,여성,행원,승진,전환고시,21세기,5일,2시,분쯤,유학산,경북,칠곡군,가산면,학하리,F-,15K,전투기,추락,임무,귀환,대위,사망,후방석,중위,시신,추정,F-,15K,전투기,추락,조종사,1명,사망,아베,신조,일본,총리,국면,전환,구상,사학스캔들,파문,재무성,문서,조작,자위대,파문,문서,은폐,외교,지지율,회복,아베,총리,한숨,자위대,문서,스캔들,아베,정권,게임,산업,컴퓨터,스마트폰,화면,오프라인,가상현실,VR,게임,체험공간,홍대,신촌,대학가,중심,인기,신촌역,인근,VR,테마파크,브라이트,VRIGHT,3월,이용자,이래,누적,4000명,돌파,게임,VR,바람,스마트폰,탈출"
20180406	"결석,미세먼지,취약,학생,질병,인정,천식,아토피,미세먼지,취약,학생들,미세먼지,결석,질병,결석,3년,전국,유치원,초등학교,특수학교,교실,환기설비,공기청정기,정화장치,설치,교육부,6일,학생,건강,보호,학교,고농도,미세먼지,대책,시행,3월,유치원,기준,전국,초등학교,특수학교,교실,공기정화장치,설치,교실,6만,37.6%,교육부,도로,산업단지,현장,대규모,공사,인접,학교,교실,3만,공기정화장치,공기청정기,설치,2020년,교실,공기정화장치,설치율,100%,계획,신축,학교,기계환기설비,설치,학교,환기,설비,설치,공기청정기,교육부,미세먼지,야외,수업,대비,전국,고교,특수학교,포함,실내,체육시설,전국,고교,체육시설,1만,실내,학교,617곳,5%,학교들,시설,예산,3800억,정도,학교,천식,아토피,알레르기,호흡기질환,심혈관질환,기저질환,학생들,학년,파악,관리,미세먼지,농도,이상인,학생,결석,질병,결석,인정,훈령,개정,예정,교육부,관계자,미세먼지,걱정,아이,학교,학부모,학교,기타,결석,처리,진학,피해,상급,학교,진학,지적"
20180406	"경유차,개선,지원,수도권,편중,지역,해결,환경부,징수,환경개선부담금,재원,노후,경유차,배출가스,저감,사업,수도권,편중,국회,환경노동위원회,소속,신창현,더불어민주당,의원,환경부,제출,자료,서울,기준,경기,인천,징수,부담금,46%,2141억,규모,매연저감,장치,부착,조기,폐차,노후,경유차,배출가스,저감,사업,수도권,비중,85.6%,926억,수도권,지역,0~2%,수준,저감,사업,지원액,경남,296억,6.3%,환경,개선,부담금,납부,6억,0.6%,지원,전국,최하위권,기록,환경개선부담금,오염,원인자,부담,원칙,배출량,차종,근거,소유자,경유,자동차,징수,의원,국정감사,문제점,지적,수도권,편중,개선,미세먼지,오염,전국,현상,지방,수도권,지원,납득,징수액,지역,부담금,비례,경유차,개선,사업,지방,오염문제,해결"
20180406	"본아이에프,아침엔본죽,미미죽,주꾸미미나리죽,출시,본죽,운영,본아이에프,식재료,제철,식재료,미나리,주꾸미,미미죽,가정식,엔본죽,주꾸미미나리죽,사진,6일,아침엔본죽,식이섬유,비타민,영양,성분,미나리,제철,주꾸미,제품,소비자,기억,미나리,주꾸미,제품명,선정,미나리,체내,축적,중금속,배출,미세먼지,기승,날씨,섭취,효과적,피로회복,타우린,필수,아미노산,기력회복,성분,함유,음식,본아이에프,관계자,출시,미미죽,기온,변화,신체,적응,환절기,영양식,피로,직장인,학생들,추천,제품,재료,제철,미나리,주꾸미,조화,영양,경험"
20180406	"6일,경남지역,발령,미세먼지,주의보,황사,영향,경남,미세먼지,pm10,주의보,발령,비상,6일,경남도보건환경연구원,하동,2시,양산,통영,밀양,3시,창원,김해ㆍ거제,ㆍ남,함안,함양ㆍ거창,합천ㆍ산청ㆍ창녕,의령,경남,지역,미세먼지,주의보,발령,미세먼지,주의보,농도,지역,대기,자동,측정소,pm10,시간당,평균,상태,2시간,지속,2시간,발령,하동,이날,농도,미세먼지,11시,미세먼지,주의보,발령,기준,초과,12시,기록,발령기준,미세먼지,주의보,발령,3시,수준,유지,양산,3시,웅상,측정소,최고치,기록,4시,발령,기준치,1시,최고치,기록,2시,3시,4시,수준,통영,수치,2시,주의보,발령,4시,최고,수치,밀양,4시,기준치,상태,3시,주의보,발령,나머지,지역,측정소,기준치,미세먼지,측정,상태,보건환경연구원,미세먼지,주의보,발령,알림서비스,해당지역,대기오염,알림,서비스,신청,시민,휴대폰,문자,실외활동,자동차,운행,자제,개인건강관리,유의,안내"
20180406	"미세먼지,KBO,역사상,경기,취소,기준치,2배,초과,6일,6시,서울,잠실구장,경기도,수원케이티위즈,파크,인천,SK,행복드림구장,예정,3경기,신한은행,마이카,KBO리그,3경기,미세먼지,취소,출범,프로,미세먼지,경기,취소,37년,두산베어스,NC,다이노스,서울,잠실,경기,김용희,경기,감독관,KBO,규약,5시,취소,결정,KBO리그,규약,3항,예정,경기,개시,강풍,폭염,안개,미세먼지,주의보,발령,경기운영위원,경기,운영,위원,지역,기상청,확인,심판위원,경기관리인,협의,구장,상태,취소,여부,규정,명시,규정,2016년,5시,잠실구장,미세먼지,농도,주의보,물론,경보,기준치,김용희,감독관,야구장,3시,미세먼지,농도,체크,바람,미세먼지,기상청,군데,문의,결과,결과,상태,선수들,야구,팬들,관전,경기,취소,판단,감독관,KBO,협의,관중,야구장,입장,불허,케이티위즈파크,경기도,수원,예정,kt,wiz,한화,이글스,경기,삼성,라이온즈,SK,와이번스,미세먼지,인천,경기도,취소,미세먼지,수원구장,인근,5시,경보,기준치,육박,인천,수치,SK,행복드림구장,미세먼지,5시,KBO,사무국,챔피언스필드,광주,KIA,챔피언스,필드,부산,사직구장,미세먼지,주의보,발령,경기,진행,어려움,판단,예정,게임,시작,예정,온라인뉴스부"
20180406	"내륙,황사,미세먼지,주의보,확대,앵커,날씨,미세먼지,황사,기상,센터,연결,날씨,이현승,캐스터,캐스터,황사,먼지,하늘,서울,내륙,지역,황사,황사,영향,미세먼지,농도,미세먼지,농도,서울,302,,248,,235마이크로그램,지역,수준,수치,황사,황사,미세먼지,특보,확대,경기,동부,북부,서부,미세먼지경보,서울,강원도,충청,남부,지역,미세먼지,주의보,황사,추가적,발원,주말,단계,봄바람,강원,산지,강풍주의보,서울,기온,6.3도,청주,8도,전주,8.1도,바람,체감온도,밤사이,경기,영서,충북,경북,북부,주말,날씨,전망,기상센터"
20180406	"미세먼지,프로야구,잠실,경기,취소,역대,강화,6일,인천,경기,북부,동부,미세먼지,경보,경기장,잠실,예정,프로야구,경기,미세먼지,역대,취소"
20180406	"프로야구,잠실,경기,미세먼지,취소,역대,속보,디지털뉴스국"
20180406	"인천,강화,경기,북부,동부,미세먼지,경보,1보,디지털뉴스국"
20180406	"미세먼지,취소,프로야구,3경기,37년,사상,프로야구,미세먼지,정규시즌,경기,취소,한국야구위원회,KBO,잠실,6일,서울,NC,다이노스,두산,베어스,수원,한화,이글스,KT,위즈,인천,삼성,라이온즈,SK,와이번스,예정,3경기,미세먼지,농도,취소,출범,프로야구,미세먼지,경기,취소,잠실,경기,경기운영위원,김용희,KBO,경기,운영,위원,3시,여부,경기,취소,바람,미세먼지,가능성,염두,기상청,미세먼지,상황,관중들,관람,선수들,플레이,경기,취소,결정,문학,수원,구장,미세먼지,농도,취소,결정,KBO,주의보,미세먼지,발효,경기,취소,규정,마련,KBO리그,규정,3항,경기,개시,예정,강풍,폭염,안개,미세먼지,주의보,발령,경기운영위원,경기,운영,위원,지역,기상청,기상대,확인,심판위원,경기관리인,협의,구장,상태,취소,여부,결정,규정,미세먼지,주의보,미세먼지,PM-,평균,농도,2시간,지속,미세먼지,경보,2시간,지속,2시간,발령,서울시,이날,시내,2시,서울,미세먼지,주의보,발령,잠실구장,위치,서울,송파구,미세먼지,농도,6시,기준,서울,송파구,미세먼지,농도,측정,수원,KT,위즈,파크,수원시,인천,SK,행복드림,구장,인천시,광주,넥센,히어로즈,KIA,타이거즈,부산,LG,트윈스,롯데,자이언츠,미세먼지,주의보,발령,경기,진행,어려움,판단,경기,진행"
